latitude,longitude,elevation,time
35.742364,138.213436,2031.579174,2024-09-14 08:03:35
35.742357,138.213427,2018.447159,2024-09-14 08:03:35
35.738419,138.215065,2010.20734,2024-09-14 08:13:40
35.7377,138.214118,1996.484769,2024-09-14 08:23:42
35.7376,138.213901,1981.828788,2024-09-14 08:33:43
35.737633,138.213854,1977.010187,2024-09-14 08:43:43
35.73756,138.21389,1977.220906,2024-09-14 08:53:58
35.738021,138.215005,1993.942343,2024-09-14 09:04:03
35.738523,138.215577,2023.779314,2024-09-14 09:14:06
35.739431,138.213288,2063.167934,2024-09-14 09:24:09
35.737688,138.211095,2119.111036,2024-09-14 09:34:16
35.736482,138.207507,2191.085081,2024-09-14 09:44:26
35.735169,138.205368,2261.100874,2024-09-14 09:54:27
35.734574,138.203869,2333.612661,2024-09-14 10:04:30
35.734514,138.202547,2408.379301,2024-09-14 10:14:35
35.732898,138.200919,2482.145225,2024-09-14 10:24:39
35.731601,138.199788,2544.723728,2024-09-14 10:34:39
35.730052,138.198893,2601.976214,2024-09-14 10:44:43
35.72962,138.198438,2662.18592,2024-09-14 10:54:51
35.728456,138.197813,2721.528358,2024-09-14 11:04:56
35.727148,138.19662,2764.211925,2024-09-14 11:15:00
35.725971,138.195803,2804.27629,2024-09-14 11:25:02
35.725892,138.195103,2835.186959,2024-09-14 11:35:03
35.724928,138.191366,2864.275659,2024-09-14 11:45:10
35.723759,138.189027,2892.624362,2024-09-14 11:55:15
35.722716,138.187179,2929.043192,2024-09-14 12:05:17
35.72039,138.186105,2950.872989,2024-09-14 12:15:25
35.720006,138.183604,2954.318743,2024-09-14 12:25:55
35.721648,138.182871,2939.342462,2024-09-14 12:35:58
35.722799,138.184388,2897.665626,2024-09-14 12:46:08
35.72336,138.184677,2835.384829,2024-09-14 12:56:08
35.725702,138.184003,2770.250855,2024-09-14 13:06:19
35.728524,138.186748,2709.701163,2024-09-14 13:16:20
35.729446,138.188307,2646.103084,2024-09-14 13:26:20
35.728869,138.190162,2593.940332,2024-09-14 13:36:23
35.729951,138.193366,2555.05943,2024-09-14 13:46:24
35.730627,138.196454,2515.653202,2024-09-14 13:56:28
35.732107,138.199866,2475.51089,2024-09-14 14:06:31
35.733779,138.201909,2422.628089,2024-09-14 14:16:34
35.734764,138.203317,2356.459113,2024-09-14 14:26:39
35.734979,138.205008,2277.058715,2024-09-14 14:36:42
35.735599,138.207041,2201.385407,2024-09-14 14:46:47
35.737587,138.210626,2125.559816,2024-09-14 14:56:50
35.739514,138.213321,2065.640926,2024-09-14 15:06:54
35.738292,138.214409,2036.023775,2024-09-14 15:16:54
35.738525,138.215691,2008.237634,2024-09-14 15:21:15
