latitude,longitude,elevation,time
35.427525,139.244547,406.116862,2024-05-26 08:56:49
35.427533,139.244545,407.979647,2024-05-26 08:56:50
35.427583,139.244203,413.115653,2024-05-26 08:58:49
35.427786,139.243931,420.254183,2024-05-26 08:59:37
35.427961,139.243526,427.939643,2024-05-26 09:00:28
35.427877,139.243074,434.23779,2024-05-26 09:01:16
35.428076,139.242725,439.884465,2024-05-26 09:02:04
35.428272,139.242446,452.044796,2024-05-26 09:02:52
35.428463,139.242158,457.332962,2024-05-26 09:03:41
35.428689,139.241674,468.201633,2024-05-26 09:04:30
35.428746,139.241319,478.568984,2024-05-26 09:05:22
35.428697,139.240922,484.711342,2024-05-26 09:06:21
35.428632,139.240567,482.187213,2024-05-26 09:07:20
35.428721,139.240239,490.117096,2024-05-26 09:08:29
35.428919,139.239982,505.092729,2024-05-26 09:10:06
35.429062,139.23977,518.810865,2024-05-26 09:12:09
35.429154,139.23943,534.94853,2024-05-26 09:13:31
35.429151,139.239391,529.881042,2024-05-26 09:15:34
35.429152,139.23937,529.729626,2024-05-26 09:17:38
35.429374,139.23948,526.865049,2024-05-26 09:19:40
35.429752,139.239141,529.064265,2024-05-26 09:20:28
35.429895,139.239439,533.125149,2024-05-26 09:21:19
35.429865,139.239818,537.917733,2024-05-26 09:22:18
35.430136,139.239956,554.866833,2024-05-26 09:24:00
35.430369,139.239869,577.149814,2024-05-26 09:26:05
35.430561,139.23974,598.625661,2024-05-26 09:28:12
35.430841,139.239772,609.609161,2024-05-26 09:29:21
35.431088,139.239956,624.644881,2024-05-26 09:30:41
35.431292,139.239717,646.504802,2024-05-26 09:32:39
35.431375,139.239339,654.177964,2024-05-26 09:33:30
35.431466,139.23901,670.032436,2024-05-26 09:34:34
35.431552,139.238633,676.583526,2024-05-26 09:36:00
35.431618,139.238293,689.593365,2024-05-26 09:37:16
35.431777,139.23824,694.8762,2024-05-26 09:39:27
35.431673,139.238092,696.535617,2024-05-26 09:41:32
35.431666,139.237717,696.180029,2024-05-26 09:43:08
35.431727,139.237445,703.501448,2024-05-26 09:45:15
35.431993,139.237321,720.464521,2024-05-26 09:46:41
35.431984,139.236986,738.056511,2024-05-26 09:48:53
35.432061,139.236647,751.154787,2024-05-26 09:49:46
35.431866,139.236394,765.834752,2024-05-26 09:51:23
35.431691,139.236059,775.674198,2024-05-26 09:52:24
35.431571,139.235729,788.153412,2024-05-26 09:53:31
35.431364,139.235427,804.284636,2024-05-26 09:55:21
35.431241,139.235083,813.425987,2024-05-26 09:56:10
35.431508,139.234873,821.784326,2024-05-26 09:57:00
35.431435,139.234727,836.530546,2024-05-26 09:59:05
35.43134,139.234398,844.056222,2024-05-26 10:00:13
35.431642,139.234422,852.19889,2024-05-26 10:01:21
35.431687,139.234183,865.325323,2024-05-26 10:03:26
35.431915,139.23395,871.475887,2024-05-26 10:04:52
35.432061,139.233644,884.520212,2024-05-26 10:06:39
35.432308,139.233469,898.202173,2024-05-26 10:08:19
35.432518,139.233263,913.620808,2024-05-26 10:10:20
35.43275,139.233142,931.549129,2024-05-26 10:12:23
35.432944,139.233126,946.413794,2024-05-26 10:14:25
35.433083,139.232865,961.018659,2024-05-26 10:16:27
35.433353,139.232753,974.151196,2024-05-26 10:18:35
35.433606,139.232589,986.820536,2024-05-26 10:20:01
35.433884,139.232654,992.346888,2024-05-26 10:21:06
35.434183,139.232692,999.506387,2024-05-26 10:22:08
35.434509,139.232753,1005.236535,2024-05-26 10:22:57
35.434777,139.232617,1014.051651,2024-05-26 10:24:10
35.434984,139.232379,1027.303055,2024-05-26 10:25:59
35.435143,139.232275,1033.443504,2024-05-26 10:28:02
35.43538,139.232084,1044.006216,2024-05-26 10:29:18
35.43558,139.231834,1057.215526,2024-05-26 10:30:57
35.435775,139.231554,1063.342525,2024-05-26 10:32:08
35.43607,139.231586,1072.501443,2024-05-26 10:33:05
35.436333,139.231455,1083.087781,2024-05-26 10:34:36
35.436613,139.231411,1095.384864,2024-05-26 10:36:13
35.4369,139.231414,1108.808011,2024-05-26 10:38:07
35.437114,139.23118,1121.853615,2024-05-26 10:40:08
35.437269,139.230881,1132.337151,2024-05-26 10:41:22
35.437401,139.230572,1145.696426,2024-05-26 10:42:40
35.437621,139.230259,1152.425834,2024-05-26 10:43:29
35.43808,139.230045,1157.751454,2024-05-26 10:44:16
35.438446,139.230012,1166.630748,2024-05-26 10:45:05
35.438707,139.230041,1179.355006,2024-05-26 10:47:07
35.438932,139.23012,1190.610022,2024-05-26 10:49:28
35.439211,139.23013,1200.770249,2024-05-26 10:50:48
35.439511,139.230158,1208.864629,2024-05-26 10:52:16
35.439791,139.230229,1218.328047,2024-05-26 10:53:16
35.440088,139.230363,1226.71432,2024-05-26 10:54:37
35.440375,139.230443,1236.371424,2024-05-26 10:55:51
35.440499,139.230868,1243.495229,2024-05-26 10:56:42
35.440585,139.231214,1247.90793,2024-05-26 10:57:32
35.440732,139.231242,1252.046369,2024-05-26 10:59:33
35.440735,139.231403,1248.433357,2024-05-26 11:01:42
35.44074,139.231392,1246.064332,2024-05-26 11:04:30
35.44079,139.231815,1235.263707,2024-05-26 11:05:19
35.440515,139.231922,1223.664627,2024-05-26 11:06:38
35.440313,139.232172,1206.596777,2024-05-26 11:08:18
35.440481,139.232463,1201.850791,2024-05-26 11:09:23
35.440613,139.232773,1190.996095,2024-05-26 11:10:29
35.440638,139.233118,1178.668338,2024-05-26 11:11:32
35.440597,139.233603,1173.332092,2024-05-26 11:12:19
35.440737,139.23402,1164.394737,2024-05-26 11:13:07
35.440944,139.234388,1168.857211,2024-05-26 11:13:56
35.441029,139.235058,1168.757816,2024-05-26 11:14:44
35.440838,139.235363,1155.081985,2024-05-26 11:15:42
35.440665,139.235644,1138.304016,2024-05-26 11:17:03
35.440482,139.235913,1130.201797,2024-05-26 11:18:54
35.440449,139.236342,1120.069425,2024-05-26 11:19:41
35.440262,139.236599,1105.689627,2024-05-26 11:20:45
35.440085,139.23687,1090.922069,2024-05-26 11:22:13
35.439887,139.237112,1073.855414,2024-05-26 11:23:54
35.439594,139.237167,1057.584008,2024-05-26 11:25:35
35.439538,139.237506,1045.233142,2024-05-26 11:27:01
35.439521,139.237871,1031.855682,2024-05-26 11:28:32
35.439288,139.238066,1014.87372,2024-05-26 11:30:12
35.439062,139.238291,1000.897754,2024-05-26 11:31:27
35.438813,139.238466,987.478456,2024-05-26 11:33:04
35.438506,139.23826,979.764421,2024-05-26 11:33:53
35.438495,139.23862,970.357139,2024-05-26 11:34:47
35.438362,139.238923,960.499147,2024-05-26 11:36:44
35.438147,139.239177,951.265503,2024-05-26 11:38:33
35.4379,139.23935,939.14078,2024-05-26 11:39:27
35.437599,139.2393,931.416268,2024-05-26 11:40:20
35.437319,139.239422,920.788693,2024-05-26 11:41:25
35.437038,139.239374,912.517904,2024-05-26 11:42:31
35.437004,139.23973,902.33457,2024-05-26 11:43:48
35.437053,139.240072,895.874749,2024-05-26 11:45:01
35.436815,139.239843,887.918329,2024-05-26 11:46:09
35.436554,139.239685,882.135886,2024-05-26 11:47:08
35.436298,139.239544,875.715167,2024-05-26 11:48:03
35.436465,139.239818,864.321162,2024-05-26 11:49:15
35.43667,139.240083,853.179339,2024-05-26 11:50:44
35.436697,139.240431,844.684642,2024-05-26 11:51:44
35.43656,139.240744,835.504003,2024-05-26 11:52:48
35.436497,139.241131,828.880421,2024-05-26 11:53:46
35.43637,139.241442,822.302726,2024-05-26 11:54:50
35.436141,139.24165,815.366436,2024-05-26 11:55:38
35.435914,139.242028,810.136231,2024-05-26 11:56:25
35.435761,139.242338,802.946191,2024-05-26 11:57:24
35.435568,139.242619,795.374527,2024-05-26 11:58:22
35.435283,139.242719,780.384762,2024-05-26 12:00:03
35.435403,139.243122,771.376271,2024-05-26 12:00:52
35.435278,139.243525,764.731542,2024-05-26 12:01:51
35.435089,139.244076,769.515535,2024-05-26 12:02:37
35.435053,139.244439,773.871385,2024-05-26 12:03:28
35.434729,139.245029,775.91675,2024-05-26 12:04:16
35.434685,139.24499,774.628988,2024-05-26 12:06:39
35.434725,139.244973,774.825959,2024-05-26 12:08:44
35.43457,139.245304,774.494268,2024-05-26 12:09:57
35.434492,139.244968,769.100572,2024-05-26 12:11:25
35.434788,139.244329,762.557643,2024-05-26 12:12:13
35.434876,139.243865,756.49662,2024-05-26 12:13:01
35.435154,139.243336,751.022329,2024-05-26 12:13:49
35.434853,139.242848,744.88007,2024-05-26 12:14:36
35.43497,139.242148,744.02909,2024-05-26 12:15:23
35.435051,139.241657,742.948083,2024-05-26 12:16:11
35.435559,139.241307,739.719009,2024-05-26 12:16:59
35.435322,139.240998,734.007678,2024-05-26 12:17:46
35.434889,139.240524,727.681383,2024-05-26 12:18:33
35.434663,139.240307,724.730381,2024-05-26 12:19:21
35.434183,139.240084,715.628757,2024-05-26 12:20:08
35.433924,139.239521,708.026564,2024-05-26 12:20:57
35.434006,139.239187,704.465007,2024-05-26 12:22:01
35.433974,139.238984,686.940661,2024-05-26 12:24:02
35.434197,139.238311,679.585718,2024-05-26 12:24:50
35.433896,139.238183,675.181349,2024-05-26 12:26:06
35.433435,139.23839,671.959979,2024-05-26 12:26:57
35.432929,139.238069,668.470989,2024-05-26 12:27:44
35.432644,139.238071,668.033924,2024-05-26 12:28:53
35.432392,139.238707,664.503311,2024-05-26 12:29:40
35.432069,139.238786,664.120599,2024-05-26 12:30:26
35.431687,139.239307,668.124511,2024-05-26 12:31:14
35.431395,139.239656,665.88088,2024-05-26 12:32:01
35.431272,139.239994,660.850254,2024-05-26 12:32:57
35.431106,139.240449,654.731931,2024-05-26 12:33:45
35.430886,139.240697,638.689266,2024-05-26 12:35:24
35.430624,139.240911,621.6664,2024-05-26 12:37:11
35.430383,139.241098,600.942984,2024-05-26 12:39:12
35.430302,139.241333,585.245997,2024-05-26 12:41:17
35.430059,139.241305,574.92812,2024-05-26 12:43:19
35.429787,139.241435,559.958603,2024-05-26 12:45:02
35.429732,139.241773,544.529874,2024-05-26 12:46:28
35.429537,139.242087,537.844409,2024-05-26 12:47:16
35.429417,139.242415,522.635739,2024-05-26 12:49:22
35.42934,139.24275,511.582751,2024-05-26 12:50:58
35.429045,139.242932,491.879789,2024-05-26 12:52:37
35.428657,139.243111,481.825491,2024-05-26 12:53:39
35.428498,139.243399,470.517486,2024-05-26 12:54:51
35.428357,139.243738,453.716681,2024-05-26 12:56:39
35.428164,139.243918,435.129902,2024-05-26 12:58:41
35.427966,139.244003,420.643792,2024-05-26 13:00:44
35.427679,139.244135,409.93509,2024-05-26 13:01:48
35.427561,139.244628,399.274729,2024-05-26 13:02:36
35.427567,139.244844,393.145793,2024-05-26 13:03:19
