latitude,longitude,elevation,time
35.76792,137.834042,1700.003043,2024-08-06 06:50:13
35.767986,137.833951,1700.73999,2024-08-06 06:52:18
35.767998,137.833792,1700.96001,2024-08-06 06:54:25
35.767931,137.833777,1702.99084,2024-08-06 06:56:30
35.767688,137.833972,1705.789644,2024-08-06 06:58:04
35.769284,137.831889,1796.01151,2024-08-06 07:01:05
35.770483,137.828034,1920.931011,2024-08-06 07:02:00
35.772036,137.824946,2030.637818,2024-08-06 07:02:50
35.773904,137.820793,2281.895217,2024-08-06 07:04:00
35.776048,137.816651,2521.156951,2024-08-06 07:05:15
35.777042,137.814352,2590.646911,2024-08-06 07:06:05
35.777423,137.813751,2635.108305,2024-08-06 07:06:55
35.777745,137.813615,2639.121867,2024-08-06 07:09:15
35.777886,137.813967,2638.575909,2024-08-06 07:10:49
35.777727,137.813818,2638.720293,2024-08-06 07:13:09
35.777879,137.813831,2638.28824,2024-08-06 07:15:14
35.777859,137.813815,2616.035127,2024-08-06 07:18:00
35.777823,137.813726,2603.929775,2024-08-06 07:20:02
35.777643,137.813391,2603.780127,2024-08-06 07:20:48
35.777912,137.813207,2602.094643,2024-08-06 07:21:47
35.778158,137.812993,2593.768844,2024-08-06 07:23:28
35.778499,137.813107,2592.550327,2024-08-06 07:24:15
35.778814,137.81309,2593.01025,2024-08-06 07:25:09
35.77916,137.812871,2595.668748,2024-08-06 07:25:58
35.779453,137.812643,2602.163744,2024-08-06 07:26:48
35.779718,137.812428,2604.755063,2024-08-06 07:28:18
35.780041,137.812447,2607.041076,2024-08-06 07:29:19
35.780339,137.812334,2609.700875,2024-08-06 07:30:48
35.780668,137.81253,2613.177147,2024-08-06 07:31:38
35.780819,137.812485,2628.644885,2024-08-06 07:33:40
35.78107,137.812332,2637.662696,2024-08-06 07:34:50
35.781294,137.812094,2647.823489,2024-08-06 07:36:48
35.7814,137.811768,2664.635711,2024-08-06 07:38:44
35.781541,137.811618,2678.577726,2024-08-06 07:40:47
35.781797,137.811516,2718.811672,2024-08-06 07:42:49
35.781881,137.811212,2747.943719,2024-08-06 07:44:54
35.782047,137.811035,2764.054699,2024-08-06 07:46:55
35.782179,137.810998,2775.914746,2024-08-06 07:48:59
35.782346,137.810792,2788.887597,2024-08-06 07:51:04
35.7826,137.810638,2810.843746,2024-08-06 07:53:06
35.782808,137.810459,2833.382983,2024-08-06 07:55:11
35.783054,137.8104,2850.317783,2024-08-06 07:57:14
35.783162,137.810332,2856.989697,2024-08-06 07:59:16
35.783203,137.810272,2858.372473,2024-08-06 08:01:23
35.783148,137.809918,2861.228359,2024-08-06 08:03:07
35.783127,137.809464,2862.869029,2024-08-06 08:03:55
35.783022,137.809146,2865.143649,2024-08-06 08:05:12
35.782937,137.808799,2871.001612,2024-08-06 08:06:23
35.783158,137.808573,2874.897197,2024-08-06 08:08:08
35.783509,137.808516,2872.511703,2024-08-06 08:08:56
35.783893,137.808208,2870.600146,2024-08-06 08:09:44
35.784254,137.807956,2870.990556,2024-08-06 08:10:32
35.78456,137.807786,2875.988364,2024-08-06 08:11:22
35.784824,137.807671,2880.44899,2024-08-06 08:12:16
35.785119,137.807716,2888.3199,2024-08-06 08:13:21
35.785396,137.807758,2893.304406,2024-08-06 08:14:10
35.785688,137.807773,2902.549239,2024-08-06 08:15:58
35.785977,137.807787,2915.286472,2024-08-06 08:17:34
35.786074,137.807596,2924.793561,2024-08-06 08:19:38
35.786035,137.80758,2927.961866,2024-08-06 08:23:11
35.785999,137.807501,2929.622622,2024-08-06 08:25:20
35.785968,137.807547,2929.277638,2024-08-06 08:27:31
35.786147,137.807675,2925.129988,2024-08-06 08:29:34
35.786298,137.807423,2915.813831,2024-08-06 08:31:39
35.7865,137.807168,2897.376203,2024-08-06 08:33:35
35.786723,137.806943,2887.614572,2024-08-06 08:34:40
35.786991,137.80679,2879.312517,2024-08-06 08:35:48
35.787256,137.806613,2871.65791,2024-08-06 08:36:53
35.787526,137.80645,2867.488106,2024-08-06 08:37:43
35.787496,137.806089,2868.644185,2024-08-06 08:39:40
35.787729,137.80586,2871.350075,2024-08-06 08:40:29
35.787998,137.805706,2880.099811,2024-08-06 08:41:43
35.788219,137.805633,2887.599904,2024-08-06 08:43:52
35.788492,137.805452,2893.897786,2024-08-06 08:44:42
35.788765,137.80531,2906.929786,2024-08-06 08:46:32
