latitude,longitude,elevation,time
35.808424,139.096996,337.016905,2024-12-14 06:38:27
35.808427,139.097001,359.284701,2024-12-14 06:38:27
35.807009,139.098333,387.367066,2024-12-14 06:48:28
35.805312,139.097656,417.135295,2024-12-14 06:58:48
35.804424,139.097292,466.25886,2024-12-14 07:08:52
35.802812,139.098312,535.371131,2024-12-14 07:18:56
35.799655,139.098737,596.550389,2024-12-14 07:28:58
35.797812,139.098612,644.974116,2024-12-14 07:38:58
35.795823,139.098936,705.912531,2024-12-14 07:49:01
35.794422,139.099536,759.338947,2024-12-14 07:59:04
35.792832,139.100791,810.075203,2024-12-14 08:09:06
35.79019,139.102613,866.757846,2024-12-14 08:19:09
35.786755,139.102669,935.677699,2024-12-14 08:29:19
35.784564,139.103591,998.957714,2024-12-14 08:39:22
35.781754,139.105169,1047.042067,2024-12-14 08:49:26
35.779235,139.105919,1071.816934,2024-12-14 08:59:39
35.778619,139.106292,1087.386842,2024-12-14 09:09:44
35.776681,139.108561,1096.163956,2024-12-14 09:19:47
35.773877,139.113724,1098.732669,2024-12-14 09:29:48
35.771587,139.118362,1107.92778,2024-12-14 09:39:49
35.769778,139.12179,1141.747659,2024-12-14 09:49:50
35.767341,139.126642,1175.972271,2024-12-14 09:59:58
35.766431,139.128739,1202.573682,2024-12-14 10:10:01
35.765159,139.130361,1230.258554,2024-12-14 10:20:06
35.765224,139.130345,1254.895014,2024-12-14 10:30:40
35.765511,139.130162,1261.248316,2024-12-14 10:40:55
35.765512,139.13015,1257.605325,2024-12-14 10:51:25
35.765483,139.130151,1235.12473,2024-12-14 11:01:41
35.764992,139.130104,1199.799264,2024-12-14 11:11:43
35.76274,139.129307,1143.310703,2024-12-14 11:21:43
35.757793,139.131742,1073.842634,2024-12-14 11:31:45
35.756041,139.132374,987.453536,2024-12-14 11:41:55
35.75487,139.132513,897.580454,2024-12-14 11:52:25
35.752615,139.132988,804.301711,2024-12-14 12:02:26
35.751314,139.132003,716.734459,2024-12-14 12:12:30
35.748307,139.131915,621.126868,2024-12-14 12:22:30
35.746128,139.132198,527.13178,2024-12-14 12:32:35
35.743626,139.132389,448.395656,2024-12-14 12:42:38
35.74133,139.135008,406.394522,2024-12-14 12:52:38
35.740447,139.135029,361.842533,2024-12-14 12:56:47
