latitude,longitude,elevation,time
35.878792,138.578689,1521.867889,2025-08-23 10:25:56
35.879367,138.579346,1527.265068,2025-08-23 10:28:01
35.880466,138.57934,1540.580072,2025-08-23 10:30:05
35.880627,138.580324,1554.391763,2025-08-23 10:32:06
35.880852,138.58107,1573.705289,2025-08-23 10:34:08
35.88115,138.581582,1591.550373,2025-08-23 10:36:13
35.881695,138.581663,1611.0,2025-08-23 10:38:13
35.881976,138.581961,1626.666667,2025-08-23 10:40:16
35.882117,138.582211,1648.0,2025-08-23 10:42:16
35.882468,138.582472,1667.333333,2025-08-23 10:44:17
35.882326,138.582735,1686.0,2025-08-23 10:46:19
35.882498,138.58302,1700.0,2025-08-23 10:48:20
35.882606,138.583304,1709.333333,2025-08-23 10:50:24
35.882697,138.583449,1716.333333,2025-08-23 10:52:30
35.882585,138.583737,1724.666667,2025-08-23 10:54:35
35.882595,138.584717,1739.333333,2025-08-23 10:56:38
35.882426,138.585411,1757.333333,2025-08-23 10:58:38
35.882357,138.586213,1774.333333,2025-08-23 11:00:38
35.88224,138.586646,1790.666667,2025-08-23 11:02:41
35.882362,138.587228,1803.333333,2025-08-23 11:04:46
35.882465,138.587418,1811.0,2025-08-23 11:06:51
35.882552,138.587424,1812.666667,2025-08-23 11:08:53
35.882553,138.5874,1812.0,2025-08-23 11:10:57
35.882345,138.587415,1807.0,2025-08-23 11:13:10
35.881952,138.586918,1802.0,2025-08-23 11:15:13
35.881942,138.586906,1798.333333,2025-08-23 11:17:15
35.881937,138.586968,1798.333333,2025-08-23 11:19:15
35.881946,138.586903,1799.0,2025-08-23 11:21:15
35.881971,138.586957,1798.666667,2025-08-23 11:23:15
35.88196,138.586929,1799.333333,2025-08-23 11:25:15
35.881993,138.586991,1799.0,2025-08-23 11:27:25
35.881916,138.586976,1798.333333,2025-08-23 11:29:25
35.881917,138.586851,1797.666667,2025-08-23 11:32:06
35.881967,138.586882,1797.333333,2025-08-23 11:34:08
35.881952,138.586882,1799.666667,2025-08-23 11:36:11
35.882049,138.587144,1805.0,2025-08-23 11:38:13
35.882454,138.587669,1809.0,2025-08-23 11:40:14
35.882459,138.587356,1811.0,2025-08-23 11:42:17
35.882361,138.587308,1809.333333,2025-08-23 11:44:19
